,mean AUC,angry AUC,disgust AUC,fear AUC,happy AUC,neautral AUC,sad AUC,surprise AUC,mean PREC,angry PREC,disgust PREC,fear PREC,happy PREC,neautral PREC,sad PREC,surprise PREC
Fer2013_filtered_uniform xval-10,0.913137261904762,0.8827691666666666,0.9477966666666668,0.8453433333333333,0.9640716666666668,0.9225683333333334,0.8543866666666666,0.975025,0.6378571428571428,0.5439999999999999,0.5349999999999999,0.487,0.837,0.657,0.5940000000000001,0.8109999999999999
Fer2013_filtered_uniform_aug_disgust100_residual07_identity03 xval-10,0.9106340476190476,0.8776400000000001,0.948825,0.8448800000000001,0.9633458333333332,0.9153725,0.8488158333333334,0.9755591666666664,0.639,0.5640000000000001,0.572,0.471,0.835,0.645,0.5640000000000001,0.8219999999999998
Fer2013_filtered_uniform_aug_disgust100_residual03_identity05 xval-10,0.9136476190476188,0.8761341666666667,0.948275,0.8562591666666666,0.9630641666666668,0.9204208333333332,0.8574683333333335,0.9739116666666668,0.6362857142857143,0.546,0.573,0.476,0.8270000000000002,0.657,0.583,0.792
Fer2013_filtered_uniform_aug_disgust100_residual07_identity03 xval-10,0.9134583333333332,0.8818241666666665,0.9444033333333332,0.8519616666666666,0.963165,0.9196225,0.8556625,0.9775691666666668,0.639,0.549,0.585,0.4609999999999999,0.8280000000000001,0.639,0.587,0.8240000000000001
Fer2013_filtered_uniform_aug_disgust100_residual07_identity03 xval-10,0.9150244047619048,0.8762825,0.9488983333333334,0.8506824999999999,0.9652391666666666,0.9235941666666664,0.8636874999999999,0.9767866666666668,0.6438571428571428,0.5720000000000001,0.606,0.4750000000000001,0.827,0.646,0.571,0.8099999999999999
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05 xval-10,0.9144266666666668,0.8816191666666666,0.9490266666666668,0.8575083333333333,0.9637875,0.9162916666666666,0.8596549999999998,0.9730983333333334,0.6472857142857142,0.5570000000000002,0.596,0.4720000000000001,0.8310000000000001,0.6689999999999999,0.596,0.8099999999999999
Fer2013_filtered_uniform_aug_disgust100_identity03 xval-10,0.9152938095238096,0.8765758333333334,0.9520083333333332,0.8511916666666666,0.9630533333333334,0.9231916666666664,0.8624758333333334,0.97856,0.6454285714285714,0.542,0.579,0.481,0.8400000000000001,0.683,0.578,0.8150000000000001
Fer2013_filtered_uniform_aug_disgust100_identity03 xval-10,0.9119338095238096,0.8815474999999999,0.9502383333333334,0.8446349999999999,0.9602516666666666,0.9175083333333334,0.8531891666666667,0.9761666666666666,0.6387142857142857,0.5690000000000002,0.5660000000000001,0.471,0.8140000000000001,0.658,0.577,0.8160000000000001
Fer2013_filtered_uniform_aug_disgust100_identity03 xval-10,0.910994285714286,0.8784233333333334,0.9472216666666666,0.8529841666666667,0.9614291666666668,0.9128408333333332,0.8506083333333333,0.9734525000000002,0.6362857142857143,0.548,0.5759999999999998,0.473,0.8310000000000001,0.667,0.554,0.805
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05 xval-10,0.91417,0.8894858333333332,0.947455,0.8499641666666665,0.9632925,0.917965,0.8561633333333333,0.9748641666666666,0.641,0.5640000000000001,0.5940000000000001,0.473,0.8150000000000001,0.641,0.5880000000000001,0.812
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05 xval-10,0.9144635714285716,0.8784983333333333,0.9539383333333332,0.8513275,0.9656958333333334,0.9198008333333334,0.8548458333333334,0.9771383333333334,0.647142857142857,0.5820000000000001,0.558,0.4720000000000001,0.8360000000000001,0.6679999999999999,0.593,0.8210000000000001
Fer2013_filtered_uniform xval-10,0.9143811904761904,0.8792583333333333,0.9502183333333332,0.8464116666666666,0.9666583333333336,0.924275,0.8594691666666667,0.9743775,0.6418571428571428,0.569,0.5469999999999999,0.486,0.8460000000000001,0.657,0.602,0.786
Fer2013_filtered_uniform xval-10,0.9111996428571428,0.8716950000000001,0.9469883333333332,0.8544216666666667,0.9594058333333332,0.9161816666666668,0.8555316666666666,0.9741733333333334,0.6362857142857143,0.5599999999999999,0.546,0.4779999999999999,0.8109999999999999,0.6699999999999999,0.5850000000000001,0.804
Fer2013_filtered_uniform_aug_disgust100_residual03_identity05 xval-10,0.914177857142857,0.8799241666666667,0.9533683333333332,0.8482050000000001,0.9639708333333334,0.9191458333333332,0.8599741666666667,0.9746566666666666,0.6424285714285715,0.558,0.5890000000000001,0.457,0.8310000000000001,0.657,0.585,0.82
Fer2013_filtered_uniform_aug_disgust100_residual03_identity05 xval-10,0.9100908333333332,0.871675,0.9479483333333332,0.8395833333333333,0.962295,0.9175008333333332,0.8546549999999999,0.9769783333333332,0.6342857142857143,0.5619999999999999,0.558,0.4640000000000001,0.8300000000000001,0.643,0.568,0.8150000000000001
Fer2013_filtered_uniform_aug_disgust200_residual05_identity05 xval-10,0.9119378571428572,0.8791274999999998,0.9432033333333332,0.8545566666666667,0.9613666666666668,0.9168658333333332,0.8537075,0.9747375,0.643,0.5619999999999999,0.568,0.4779999999999999,0.82,0.662,0.596,0.8150000000000001
Fer2013_filtered_uniform_aug_disgust200_residual05_identity05 xval-10,0.9150863095238096,0.8918083333333333,0.94334,0.8459466666666666,0.9650958333333334,0.9181083333333332,0.8657166666666667,0.9755883333333332,0.6488571428571429,0.583,0.5970000000000001,0.4979999999999999,0.8220000000000001,0.6319999999999999,0.591,0.819
Fer2013_filtered_uniform_aug_disgust200_residual05_identity05 xval-10,0.9107140476190476,0.8828408333333334,0.9418683333333332,0.8475883333333334,0.9604775,0.9137391666666664,0.8549416666666666,0.9735425,0.6348571428571429,0.565,0.575,0.481,0.812,0.64,0.567,0.8039999999999999
Fer2013_filtered_uniform_aug_disgust100_residual07_identity05 xval-10,0.913062380952381,0.8732775,0.9485816666666668,0.85075,0.9659341666666668,0.9194058333333331,0.8591433333333333,0.9743441666666668,0.6368571428571428,0.5359999999999999,0.5790000000000001,0.4859999999999999,0.827,0.641,0.588,0.8010000000000002
Fer2013_filtered_uniform_aug_disgust100_residual07_identity05 xval-10,0.9124435714285714,0.8819516666666667,0.9423383333333334,0.8540150000000001,0.9632475,0.9158491666666666,0.8537208333333333,0.9759825,0.6447142857142857,0.561,0.566,0.4800000000000001,0.8540000000000001,0.662,0.5700000000000001,0.8200000000000001
Fer2013_filtered_uniform_aug_disgust100_resisudal07_identity05 xval-10,0.9148540476190477,0.8836608333333335,0.9472333333333334,0.84376,0.965465,0.92401,0.8653550000000001,0.9744941666666666,0.646857142857143,0.598,0.5790000000000001,0.472,0.8280000000000001,0.6599999999999999,0.584,0.807
Fer2013_filtered_uniform_aug_disgust100_identity0.5 xval-10,0.911867261904762,0.8781983333333334,0.9422833333333334,0.8499333333333332,0.9644383333333334,0.91913,0.8560008333333332,0.9730866666666664,0.6408571428571429,0.564,0.5780000000000001,0.481,0.841,0.662,0.57,0.79
Fer2013_filtered_uniform_aug_disgust100_identity0.5 xval-10,0.9116989285714284,0.87781,0.94556,0.854055,0.9633541666666668,0.91594,0.8494966666666667,0.9756766666666667,0.6394285714285715,0.55,0.591,0.4609999999999999,0.834,0.6589999999999999,0.582,0.799
Fer2013_filtered_uniform_aug_disgust100_identity0.5 xval-10,0.9105430952380952,0.8755416666666666,0.94701,0.8464499999999999,0.9622191666666666,0.9164841666666668,0.8518525,0.9742441666666666,0.6374285714285713,0.549,0.585,0.482,0.8140000000000001,0.6519999999999999,0.5740000000000001,0.806
Fer2013_filtered_uniform_aug_disgust100_identity00 xval-10,0.9151211904761908,0.8808608333333334,0.9543533333333332,0.8445158333333334,0.9633558333333336,0.9179758333333334,0.8653866666666667,0.9793999999999998,0.6432857142857143,0.5729999999999998,0.5660000000000001,0.466,0.818,0.6459999999999999,0.607,0.827
Fer2013_filtered_uniform_aug_disgust100_identity00 xval-10,0.9136864285714286,0.8801249999999999,0.9539216666666668,0.8548008333333333,0.9632316666666666,0.9143016666666666,0.8542066666666667,0.9752175,0.637,0.549,0.579,0.476,0.8099999999999999,0.6540000000000001,0.5710000000000001,0.82
Fer2013_filtered_uniform_aug_disgust100_identity00 xval-10,0.9110532142857142,0.87881,0.9531733333333332,0.846325,0.9625325000000002,0.9121116666666664,0.8501283333333334,0.9742916666666668,0.6288571428571428,0.5419999999999999,0.5810000000000001,0.447,0.817,0.653,0.564,0.798
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_in005 xval-10,0.9113425000000002,0.876815,0.9452483333333334,0.8437208333333335,0.9638575,0.9171983333333332,0.85788,0.9746775,0.6374285714285715,0.5519999999999999,0.5650000000000001,0.47,0.826,0.661,0.5820000000000001,0.806
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_in005 xval-10,0.9152186904761904,0.8814808333333334,0.9455366666666668,0.8551066666666667,0.9653241666666666,0.9232308333333332,0.8597341666666667,0.9761175000000002,0.6467142857142857,0.57,0.5589999999999999,0.497,0.8219999999999998,0.647,0.607,0.825
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_in005 xval-10,0.9097421428571428,0.8788958333333333,0.94523,0.8424241666666668,0.96319,0.9130975,0.8519733333333332,0.9733841666666668,0.6322857142857143,0.5630000000000001,0.546,0.465,0.8230000000000001,0.6569999999999999,0.5740000000000001,0.798
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_ls01 xval-10,0.9119089285714288,0.87958,0.9451833333333336,0.8460075,0.9647233333333334,0.9200141666666668,0.8501266666666666,0.9777275,0.6378571428571428,0.555,0.5490000000000002,0.474,0.8320000000000001,0.6619999999999999,0.571,0.8220000000000001
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_ls01 xval-10,0.9137519047619048,0.8796833333333334,0.94434,0.8534741666666668,0.9662966666666666,0.9182558333333332,0.8620216666666666,0.9721916666666668,0.6421428571428571,0.551,0.562,0.477,0.8380000000000001,0.6460000000000001,0.602,0.819
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_ls01 xval-10,0.9125013095238096,0.86973,0.9518383333333336,0.8523966666666667,0.9611783333333334,0.9191716666666666,0.8593433333333333,0.9738508333333332,0.6398571428571429,0.5349999999999999,0.604,0.4549999999999999,0.8150000000000001,0.6699999999999999,0.594,0.806
Fer2013_filtered_uniform_aug_surprise100_residual05_identity05 xval-10,0.910220476190476,0.8733883333333333,0.9457566666666668,0.8506291666666668,0.9590141666666668,0.9158275,0.8525983333333332,0.9743291666666666,0.6377142857142857,0.529,0.559,0.504,0.8219999999999998,0.656,0.586,0.808
Fer2013_filtered_uniform_aug_surprise100_residual05_identity05 xval-10,0.910815119047619,0.8763608333333334,0.944985,0.8456783333333334,0.9613291666666668,0.918685,0.8553050000000001,0.9733625,0.6411428571428571,0.521,0.592,0.501,0.833,0.656,0.575,0.8099999999999999
Fer2013_filtered_uniform_aug_surprise100_residual05_identity05 xval-10,0.9092115476190477,0.8723191666666669,0.9458933333333336,0.8365233333333333,0.9625041666666666,0.9193191666666666,0.8561816666666667,0.97174,0.6378571428571429,0.542,0.5970000000000001,0.476,0.8089999999999999,0.6779999999999999,0.5509999999999999,0.8119999999999999
